ID,Pokémon,Pokédex
1,Bulbasaur,"Un Pokémon que crece lentamente, y su energía aumenta cuando está expuesto a la luz solar."
2,Ivysaur,"Ivysaur es un Pokémon que florece cuando se siente seguro, mostrando su belleza natural."
3,Venusaur,Venusaur tiene una flor en su espalda que libera un aroma embriagador para atraer a sus presas.
4,Charmander,Charmander lleva una llama en su cola que refleja su estado emocional y vitalidad.
5,Charmeleon,"Charmeleon se vuelve más feroz cuando su llama se intensifica, mostrando su temperamento."
6,Charizard,Charizard puede volar a grandes altitudes y lanza llamas ardientes desde su boca.
7,Squirtle,Squirtle es un Pokémon acuático que se esconde en su caparazón cuando se siente amenazado.
8,Wartortle,Wartortle tiene una cola esponjosa que le ayuda a nadar con agilidad en el agua.
9,Blastoise,Blastoise tiene cañones en su espalda que pueden disparar potentes chorros de agua.
10,Caterpie,Caterpie es un Pokémon que se alimenta de hojas y puede camuflarse en su entorno.
11,Metapod,"Metapod es un Pokémon en estado de transformación, protegido por su dura piel."
12,Butterfree,Butterfree es un Pokémon que vuela con gracia y utiliza su polvo para dormir a sus enemigos.
13,Weedle,Weedle tiene un aguijón en su cabeza que utiliza para defenderse de los depredadores.
14,Kakuna,"Kakuna es un Pokémon en estado de pupación, inmóvil mientras se prepara para evolucionar."
15,Beedrill,Beedrill es un Pokémon agresivo que ataca en enjambres y defiende su colmena ferozmente.
16,Pidgey,"Pidgey es un Pokémon común que se encuentra en los campos, conocido por su agilidad."
17,Pidgeotto,Pidgeotto es un cazador experto que utiliza su aguda vista para localizar presas.
18,Pidgeot,Pidgeot es un Pokémon majestuoso que puede volar a velocidades impresionantes.
19,Rattata,Rattata es un Pokémon pequeño y astuto que se adapta fácilmente a su entorno.
20,Raticate,Raticate es un Pokémon territorial que defiende su hogar con ferocidad.
21,Spearow,Spearow es un Pokémon que vuela en bandadas y es conocido por su fuerte grito.
22,Fearow,Fearow es un Pokémon volador que puede alcanzar grandes velocidades y es temido por su agresividad.
23,Ekans,Ekans es un Pokémon serpiente que se desliza silenciosamente en busca de presas.
24,Arbok,Arbok puede hipnotizar a sus enemigos con su mirada y es conocido por su feroz defensa.
25,Pikachu,Pikachu es un Pokémon eléctrico que almacena energía en sus mejillas y es muy amigable.
26,Raichu,Raichu es un Pokémon que puede liberar potentes descargas eléctricas cuando se siente amenazado.
27,Sandshrew,Sandshrew es un Pokémon que se excava en la tierra para protegerse de los depredadores.
28,Sandslash,Sandslash tiene espinas afiladas en su espalda que utiliza para defenderse.
29,Nidoranâ™€,Nidoran? es un Pokémon tímido que se siente más seguro en grupos.
30,Nidorina,Nidorina es un Pokémon que cuida a sus crías con gran dedicación y amor.
31,Nidoqueen,Nidoqueen es un Pokémon fuerte y protector que defiende su territorio con valentía.
32,Nidoranâ™‚,Nidoran? es un Pokémon curioso que explora su entorno en busca de aventuras.
33,Nidorino,Nidorino es un Pokémon que se vuelve más agresivo cuando se siente amenazado.
34,Nidoking,Nidoking es un Pokémon poderoso que puede derribar obstáculos con su fuerza bruta.
35,Clefairy,Clefairy es un Pokémon que se dice que trae buena suerte y es adorado por muchos.
36,Clefable,Clefable es un Pokémon mágico que puede volar y es conocido por su naturaleza amable.
37,Vulpix,Vulpix es un Pokémon de fuego que puede controlar las llamas en su cola con destreza.
38,Ninetales,Ninetales es un Pokémon elegante que se dice que tiene un vínculo especial con la luna.
39,Jigglypuff,Jigglypuff utiliza su canto suave para hacer dormir a quienes lo escuchan.
40,Wigglytuff,Wigglytuff es un Pokémon que se destaca por su gran capacidad para hacer amigos.
41,Zubat,Zubat es un Pokémon que vive en cuevas y se guía por el eco de sus chillidos.
42,Golbat,Golbat es un Pokémon vampírico que se alimenta de la energía vital de sus presas.
43,Oddish,Oddish es un Pokémon que crece en la oscuridad y florece al recibir luz solar.
44,Gloom,Gloom emite un olor desagradable que puede hacer que sus enemigos se desmayen.
45,Vileplume,Vileplume tiene una gran flor que libera esporas que pueden causar somnolencia.
46,Paras,"Paras es un Pokémon que lleva hongos en su espalda, los cuales le otorgan habilidades especiales."
47,Parasect,Parasect es un Pokémon que ha sido completamente controlado por los hongos en su espalda.
48,Venonat,Venonat tiene ojos grandes que le permiten ver en la oscuridad y detectar movimientos.
49,Venomoth,Venomoth es un Pokémon que utiliza su polvo para confundir a sus enemigos y escapar.
50,Diglett,Diglett es un Pokémon que vive bajo tierra y puede moverse rápidamente a través del suelo.
51,Dugtrio,"Dugtrio es un Pokémon que se compone de tres cabezas, lo que le permite excavar con gran velocidad."
52,Meowth,Meowth es un Pokémon que puede hablar y es conocido por su astucia y habilidades para robar.
53,Persian,Persian es un Pokémon elegante que se mueve con gracia y es muy apreciado por su belleza.
54,Psyduck,"Psyduck sufre de constantes dolores de cabeza, pero puede liberar poderosos ataques psíquicos."
55,Golduck,Golduck es un Pokémon acuático que puede nadar a gran velocidad y es muy inteligente.
56,Mankey,Mankey es un Pokémon inquieto que se irrita fácilmente y es conocido por su agilidad.
57,Primeape,Primeape es un Pokémon feroz que se deja llevar por la ira y es un luchador formidable.
58,Growlithe,Growlithe es un Pokémon leal que se convierte en un gran compañero para quienes lo cuidan.
59,Arcanine,Arcanine es un Pokémon majestuoso que se dice que es el mejor amigo del hombre.
